"Label (Grouping)","Population 5 years and over","Population 5 years and over!!Speak only English","Population 5 years and over!!Speak a language other than English","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years old and over","CITIZENS 18 YEARS AND OVER","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak only English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Spanish","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Other languages"
"            Estimate","89.6%","(X)","63.4%","","65.7%","87.9%","63.2%","28.3%","57.4%","86.9%","57.3%","37.0%","52.9%","91.2%","60.2%","4.7%","57.2%","100.0%","63.7%","12.0%","","93.7%","(X)","70.8%","71.4%","67.9%"
"            Margin of Error","±1.8","(X)","±4.5","","±5.7","±6.2","±7.1","±14.3","±12.8","±19.2","±15.1","±44.2","±14.2","±19.6","±13.3","±13.1","±29.6","±48.4","±51.4","±29.7","","±1.7","(X)","±6.3","±7.5","±11.9"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6,233","(X)","6,233","","4,476","275","3,729","472","789","28","572","189","694","10","440","244","274","0","171","103","","2,713","(X)","2,713","2,192","521"
"            Margin of Error","±1,101","(X)","±1,101","","±1,061","±143","±963","±207","±472","±46","±419","±147","±282","±23","±194","±172","±318","±33","±313","±49","","±762","(X)","±762","±770","±237"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.4%","(X)","36.6%","","34.3%","12.1%","36.8%","71.7%","42.6%","13.1%","42.7%","63.0%","47.1%","8.8%","39.8%","95.3%","42.8%","0.0%","36.3%","88.0%","","6.3%","(X)","29.2%","28.6%","32.1%"
"            Margin of Error","±1.8","(X)","±4.5","","±5.7","±6.2","±7.1","±14.3","±12.8","±19.2","±15.1","±44.2","±14.2","±19.6","±13.3","±13.1","±29.6","±48.4","±51.4","±29.7","","±1.7","(X)","±6.3","±7.5","±11.9"
"ZCTA5 78669","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,889","11,482","1,407","","426","44","217","165","579","38","472","69","240","62","157","21","162","47","115","0","","10,157","9,426","731","278","453"
"        Margin of Error","±1,067","±1,008","±428","","±198","±36","±146","±96","±315","±38","±291","±67","±166","±53","±121","±31","±171","±66","±112","±22","","±916","±856","±265","±117","±239"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","89.1%","10.9%","","3.3%","0.3%","1.7%","1.3%","4.5%","0.3%","3.7%","0.5%","1.9%","0.5%","1.2%","0.2%","1.3%","0.4%","0.9%","0.0%","","(X)","92.8%","7.2%","2.7%","4.5%"
"        Margin of Error","(X)","±3.1","±3.1","","±1.5","±0.3","±1.1","±0.7","±2.3","±0.3","±2.2","±0.5","±1.3","±0.4","±0.9","±0.2","±1.3","±0.5","±0.9","±0.3","","(X)","±2.5","±2.5","±1.1","±2.3"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","12,767","(X)","1,285","","338","36","155","147","579","38","472","69","222","62","157","3","146","47","99","0","","10,119","(X)","693","258","435"
"            Margin of Error","±1,051","(X)","±395","","±156","±35","±110","±92","±315","±38","±291","±67","±164","±53","±121","±7","±171","±66","±113","±22","","±911","(X)","±261","±112","±232"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","99.1%","(X)","91.3%","","79.3%","81.8%","71.4%","89.1%","100.0%","100.0%","100.0%","100.0%","92.5%","100.0%","100.0%","14.3%","90.1%","100.0%","86.1%","-","","99.6%","(X)","94.8%","92.8%","96.0%"
"            Margin of Error","±0.7","(X)","±5.8","","±14.1","±27.4","±26.8","±17.8","±7.5","±56.6","±9.1","±42.0","±14.0","±44.3","±24.5","±48.6","±21.7","±50.9","±30.0","**","","±0.4","(X)","±6.1","±10.5","±7.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","122","(X)","122","","88","8","62","18","0","0","0","0","18","0","0","18","16","0","16","0","","38","(X)","38","20","18"
"            Margin of Error","±89","(X)","±89","","±77","±9","±71","±31","±22","±22","±22","±22","±31","±22","±22","±31","±29","±22","±29","±22","","±42","(X)","±42","±31","±31"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","0.9%","(X)","8.7%","","20.7%","18.2%","28.6%","10.9%","0.0%","0.0%","0.0%","0.0%","7.5%","0.0%","0.0%","85.7%","9.9%","0.0%","13.9%","-","","0.4%","(X)","5.2%","7.2%","4.0%"
"            Margin of Error","±0.7","(X)","±5.8","","±14.1","±27.4","±26.8","±17.8","±7.5","±56.6","±9.1","±42.0","±14.0","±44.3","±24.5","±48.6","±21.7","±50.9","±30.0","**","","±0.4","(X)","±6.1","±10.5","±7.0"
"ZCTA5 78701","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,749","9,300","2,449","","1,459","8","1,209","242","481","0","481","0","502","0","502","0","7","0","7","0","","10,693","9,049","1,644","1,270","374"
"        Margin of Error","±1,403","±1,279","±655","","±602","±17","±561","±130","±248","±22","±248","±22","±377","±22","±377","±22","±10","±22","±10","±22","","±1,302","±1,264","±557","±550","±199"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","79.2%","20.8%","","12.4%","0.1%","10.3%","2.1%","4.1%","0.0%","4.1%","0.0%","4.3%","0.0%","4.3%","0.0%","0.1%","0.0%","0.1%","0.0%","","(X)","84.6%","15.4%","11.9%","3.5%"
"        Margin of Error","(X)","±5.1","±5.1","","±5.1","±0.1","±4.8","±1.1","±2.1","±0.4","±2.1","±0.4","±3.0","±0.4","±3.0","±0.4","±0.1","±0.4","±0.1","±0.4","","(X)","±5.1","±5.1","±5.1","±1.8"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11,500","(X)","2,200","","1,326","0","1,114","212","457","0","457","0","410","0","410","0","7","0","7","0","","10,568","(X)","1,519","1,169","350"
"            Margin of Error","±1,364","(X)","±627","","±583","±22","±548","±122","±255","±22","±255","±22","±269","±22","±269","±22","±10","±22","±10","±22","","±1,295","(X)","±543","±535","±199"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","97.9%","(X)","89.8%","","90.9%","0.0%","92.1%","87.6%","95.0%","-","95.0%","-","81.7%","-","81.7%","-","100.0%","-","100.0%","-","","98.8%","(X)","92.4%","92.0%","93.6%"
"            Margin of Error","±1.6","(X)","±7.6","","±7.7","±100.0","±7.6","±20.0","±9.3","**","±9.3","**","±19.5","**","±19.5","**","±100.0","**","±100.0","**","","±1.2","(X)","±7.5","±9.0","±11.4"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","249","(X)","249","","133","8","95","30","24","0","24","0","92","0","92","0","0","0","0","0","","125","(X)","125","101","24"
"            Margin of Error","±192","(X)","±192","","±114","±17","±93","±49","±41","±22","±41","±22","±142","±22","±142","±22","±22","±22","±22","±22","","±126","(X)","±126","±117","±41"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.1%","(X)","10.2%","","9.1%","100.0%","7.9%","12.4%","5.0%","-","5.0%","-","18.3%","-","18.3%","-","0.0%","-","0.0%","-","","1.2%","(X)","7.6%","8.0%","6.4%"
"            Margin of Error","±1.6","(X)","±7.6","","±7.7","±100.0","±7.6","±20.0","±9.3","**","±9.3","**","±19.5","**","±19.5","**","±100.0","**","±100.0","**","","±1.2","(X)","±7.5","±9.0","±11.4"
"ZCTA5 78702","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,886","17,959","5,927","","5,128","607","3,369","1,152","418","58","360","0","173","0","173","0","208","67","141","0","","19,503","15,522","3,981","3,548","433"
"        Margin of Error","±1,720","±1,495","±886","","±872","±291","±579","±244","±203","±92","±155","±26","±91","±26","±91","±26","±161","±89","±91","±26","","±1,472","±1,344","±553","±540","±160"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","75.2%","24.8%","","21.5%","2.5%","14.1%","4.8%","1.7%","0.2%","1.5%","0.0%","0.7%","0.0%","0.7%","0.0%","0.9%","0.3%","0.6%","0.0%","","(X)","79.6%","20.4%","18.2%","2.2%"
"        Margin of Error","(X)","±3.2","±3.2","","±3.2","±1.2","±2.2","±1.0","±0.9","±0.4","±0.7","±0.2","±0.4","±0.2","±0.4","±0.2","±0.7","±0.4","±0.4","±0.2","","(X)","±2.6","±2.6","±2.6","±0.8"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","22,314","(X)","4,355","","3,655","506","2,477","672","386","31","355","0","160","0","160","0","154","67","87","0","","18,808","(X)","3,286","2,853","433"
"            Margin of Error","±1,685","(X)","±708","","±696","±231","±458","±212","±174","±50","±154","±26","±89","±26","±89","±26","±147","±89","±70","±26","","±1,465","(X)","±501","±483","±160"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","93.4%","(X)","73.5%","","71.3%","83.4%","73.5%","58.3%","92.3%","53.4%","98.6%","-","92.5%","-","92.5%","-","74.0%","100.0%","61.7%","-","","96.4%","(X)","82.5%","80.4%","100.0%"
"            Margin of Error","±1.4","(X)","±4.2","","±4.7","±15.4","±5.3","±12.2","±8.9","±6.2","±1.9","**","±12.6","**","±12.6","**","±29.7","±42.6","±34.6","**","","±1.1","(X)","±4.9","±5.4","±9.9"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,572","(X)","1,572","","1,473","101","892","480","32","27","5","0","13","0","13","0","54","0","54","0","","695","(X)","695","695","0"
"            Margin of Error","±332","(X)","±332","","±319","±116","±239","±163","±46","±43","±7","±26","±23","±26","±23","±26","±62","±26","±62","±26","","±212","(X)","±212","±212","±26"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6.6%","(X)","26.5%","","28.7%","16.6%","26.5%","41.7%","7.7%","46.6%","1.4%","-","7.5%","-","7.5%","-","26.0%","0.0%","38.3%","-","","3.6%","(X)","17.5%","19.6%","0.0%"
"            Margin of Error","±1.4","(X)","±4.2","","±4.7","±15.4","±5.3","±12.2","±8.9","±6.2","±1.9","**","±12.6","**","±12.6","**","±29.7","±42.6","±34.6","**","","±1.1","(X)","±4.9","±5.4","±9.9"
"ZCTA5 78703","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,146","16,761","2,385","","977","75","795","107","609","14","568","27","730","26","704","0","69","9","47","13","","15,199","14,142","1,057","676","381"
"        Margin of Error","±1,569","±1,493","±409","","±304","±63","±255","±87","±221","±19","±216","±26","±271","±22","±270","±26","±63","±13","±52","±20","","±1,327","±1,298","±277","±201","±166"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","87.5%","12.5%","","5.1%","0.4%","4.2%","0.6%","3.2%","0.1%","3.0%","0.1%","3.8%","0.1%","3.7%","0.0%","0.4%","0.0%","0.2%","0.1%","","(X)","93.0%","7.0%","4.4%","2.5%"
"        Margin of Error","(X)","±2.1","±2.1","","±1.5","±0.3","±1.3","±0.5","±1.2","±0.1","±1.1","±0.1","±1.4","±0.1","±1.4","±0.2","±0.3","±0.1","±0.3","±0.1","","(X)","±1.8","±1.8","±1.3","±1.1"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18,674","(X)","1,913","","833","74","678","81","585","14","544","27","426","7","419","0","69","9","47","13","","15,076","(X)","934","571","363"
"            Margin of Error","±1,532","(X)","±341","","±266","±63","±226","±64","±218","±19","±214","±26","±193","±11","±193","±26","±63","±13","±52","±20","","±1,322","(X)","±254","±176","±155"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","97.5%","(X)","80.2%","","85.3%","98.7%","85.3%","75.7%","96.1%","100.0%","95.8%","100.0%","58.4%","26.9%","59.5%","-","100.0%","100.0%","100.0%","100.0%","","99.2%","(X)","88.4%","84.5%","95.3%"
"            Margin of Error","±0.8","(X)","±5.8","","±6.6","±3.7","±7.5","±19.7","±4.9","±93.3","±5.3","±67.2","±13.4","±44.4","±13.5","**","±42.0","±100.0","±50.9","±96.8","","±0.5","(X)","±6.5","±8.9","±7.3"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","472","(X)","472","","144","1","117","26","24","0","24","0","304","19","285","0","0","0","0","0","","123","(X)","123","105","18"
"            Margin of Error","±167","(X)","±167","","±79","±3","±71","±33","±30","±26","±30","±26","±141","±21","±137","±26","±26","±26","±26","±26","","±75","(X)","±75","±69","±30"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.5%","(X)","19.8%","","14.7%","1.3%","14.7%","24.3%","3.9%","0.0%","4.2%","0.0%","41.6%","73.1%","40.5%","-","0.0%","0.0%","0.0%","0.0%","","0.8%","(X)","11.6%","15.5%","4.7%"
"            Margin of Error","±0.8","(X)","±5.8","","±6.6","±3.7","±7.5","±19.7","±4.9","±93.3","±5.3","±67.2","±13.4","±44.4","±13.5","**","±42.0","±100.0","±50.9","±96.8","","±0.5","(X)","±6.5","±8.9","±7.3"
"ZCTA5 78704","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","49,082","38,752","10,330","","8,363","1,161","6,085","1,117","1,013","6","890","117","580","0","479","101","374","39","316","19","","41,801","35,180","6,621","5,343","1,278"
"        Margin of Error","±2,351","±1,954","±1,649","","±1,574","±428","±1,223","±313","±240","±9","±213","±103","±173","±33","±151","±78","±225","±62","±176","±31","","±1,868","±1,686","±979","±936","±273"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","79.0%","21.0%","","17.0%","2.4%","12.4%","2.3%","2.1%","0.0%","1.8%","0.2%","1.2%","0.0%","1.0%","0.2%","0.8%","0.1%","0.6%","0.0%","","(X)","84.2%","15.8%","12.8%","3.1%"
"        Margin of Error","(X)","±2.9","±2.9","","±2.9","±0.8","±2.2","±0.6","±0.5","±0.1","±0.4","±0.2","±0.4","±0.1","±0.3","±0.2","±0.5","±0.1","±0.4","±0.1","","(X)","±2.1","±2.1","±2.1","±0.6"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","46,741","(X)","7,989","","6,434","959","4,683","792","876","0","759","117","424","0","379","45","255","39","197","19","","40,673","(X)","5,493","4,403","1,090"
"            Margin of Error","±2,332","(X)","±1,508","","±1,418","±392","±1,043","±320","±223","±33","±192","±103","±131","±33","±115","±60","±136","±62","±115","±31","","±1,834","(X)","±868","±794","±261"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","95.2%","(X)","77.3%","","76.9%","82.6%","77.0%","70.9%","86.5%","0.0%","85.3%","100.0%","73.1%","-","79.1%","44.6%","68.2%","100.0%","62.3%","100.0%","","97.3%","(X)","83.0%","82.4%","85.3%"
"            Margin of Error","±1.1","(X)","±5.1","","±5.8","±14.7","±6.4","±16.6","±6.8","±100.0","±7.2","±30.9","±16.4","**","±18.1","±44.7","±25.6","±55.9","±32.8","±80.1","","±0.9","(X)","±5.1","±5.5","±9.8"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,341","(X)","2,341","","1,929","202","1,402","325","137","6","131","0","156","0","100","56","119","0","119","0","","1,128","(X)","1,128","940","188"
"            Margin of Error","±549","(X)","±549","","±511","±182","±453","±178","±73","±9","±71","±33","±119","±33","±104","±56","±140","±33","±140","±33","","±376","(X)","±376","±344","±135"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.8%","(X)","22.7%","","23.1%","17.4%","23.0%","29.1%","13.5%","100.0%","14.7%","0.0%","26.9%","-","20.9%","55.4%","31.8%","0.0%","37.7%","0.0%","","2.7%","(X)","17.0%","17.6%","14.7%"
"            Margin of Error","±1.1","(X)","±5.1","","±5.8","±14.7","±6.4","±16.6","±6.8","±100.0","±7.2","±30.9","±16.4","**","±18.1","±44.7","±25.6","±55.9","±32.8","±80.1","","±0.9","(X)","±5.1","±5.5","±9.8"
"ZCTA5 78705","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,093","24,851","8,242","","3,689","122","3,534","33","1,282","18","1,228","36","2,927","47","2,879","1","344","0","344","0","","29,647","23,749","5,898","3,105","2,793"
"        Margin of Error","±1,901","±1,497","±868","","±647","±123","±576","±37","±259","±31","±243","±45","±494","±41","±490","±3","±246","±30","±246","±30","","±1,755","±1,484","±633","±522","±485"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","75.1%","24.9%","","11.1%","0.4%","10.7%","0.1%","3.9%","0.1%","3.7%","0.1%","8.8%","0.1%","8.7%","0.0%","1.0%","0.0%","1.0%","0.0%","","(X)","80.1%","19.9%","10.5%","9.4%"
"        Margin of Error","(X)","±2.0","±2.0","","±1.6","±0.4","±1.4","±0.1","±0.8","±0.1","±0.8","±0.1","±1.5","±0.1","±1.5","±0.1","±0.7","±0.1","±0.7","±0.1","","(X)","±1.7","±1.7","±1.5","±1.6"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","31,998","(X)","7,147","","3,177","107","3,037","33","1,229","18","1,186","25","2,470","40","2,430","0","271","0","271","0","","29,181","(X)","5,432","2,830","2,602"
"            Margin of Error","±1,765","(X)","±709","","±499","±122","±445","±37","±253","±31","±239","±37","±468","±37","±466","±30","±192","±30","±192","±30","","±1,682","(X)","±535","±437","±449"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","96.7%","(X)","86.7%","","86.1%","87.7%","85.9%","100.0%","95.9%","100.0%","96.6%","69.4%","84.4%","85.1%","84.4%","0.0%","78.8%","-","78.8%","-","","98.4%","(X)","92.1%","91.1%","93.2%"
"            Margin of Error","±0.8","(X)","±2.9","","±5.5","±21.5","±5.9","±60.7","±2.7","±82.2","±2.5","±42.6","±5.0","±19.8","±5.1","±100.0","±13.5","**","±13.5","**","","±0.7","(X)","±3.3","±5.2","±3.8"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,095","(X)","1,095","","512","15","497","0","53","0","42","11","457","7","449","1","73","0","73","0","","466","(X)","466","275","191"
"            Margin of Error","±298","(X)","±298","","±255","±21","±253","±30","±35","±30","±31","±16","±153","±10","±151","±3","±73","±30","±73","±30","","±216","(X)","±216","±186","±116"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3.3%","(X)","13.3%","","13.9%","12.3%","14.1%","0.0%","4.1%","0.0%","3.4%","30.6%","15.6%","14.9%","15.6%","100.0%","21.2%","-","21.2%","-","","1.6%","(X)","7.9%","8.9%","6.8%"
"            Margin of Error","±0.8","(X)","±2.9","","±5.5","±21.5","±5.9","±60.7","±2.7","±82.3","±2.5","±42.6","±5.0","±19.8","±5.1","±100.0","±13.5","**","±13.5","**","","±0.7","(X)","±3.3","±5.2","±3.8"
"ZCTA5 78712","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","887","661","226","","170","0","170","0","28","0","28","0","9","0","9","0","19","0","19","0","","841","633","208","170","38"
"        Margin of Error","±331","±264","±123","","±122","±14","±122","±14","±18","±14","±18","±14","±18","±14","±18","±14","±37","±14","±37","±14","","±317","±262","±123","±122","±26"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","74.5%","25.5%","","19.2%","0.0%","19.2%","0.0%","3.2%","0.0%","3.2%","0.0%","1.0%","0.0%","1.0%","0.0%","2.1%","0.0%","2.1%","0.0%","","(X)","75.3%","24.7%","20.2%","4.5%"
"        Margin of Error","(X)","±10.3","±10.3","","±11.5","±4.9","±11.5","±4.9","±1.8","±4.9","±1.8","±4.9","±1.9","±4.9","±1.9","±4.9","±4.3","±4.9","±4.3","±4.9","","(X)","±11.9","±11.9","±12.4","±3.1"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","869","(X)","208","","161","0","161","0","28","0","28","0","0","0","0","0","19","0","19","0","","832","(X)","199","161","38"
"            Margin of Error","±318","(X)","±109","","±115","±14","±115","±14","±18","±14","±18","±14","±14","±14","±14","±14","±37","±14","±37","±14","","±311","(X)","±116","±115","±26"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","98.0%","(X)","92.0%","","94.7%","-","94.7%","-","100.0%","-","100.0%","-","0.0%","-","0.0%","-","100.0%","-","100.0%","-","","98.9%","(X)","95.7%","94.7%","100.0%"
"            Margin of Error","±3.7","(X)","±14.1","","±9.5","**","±9.5","**","±65.9","**","±65.9","**","±100.0","**","±100.0","**","±80.1","**","±80.1","**","","±2.0","(X)","±7.8","±9.5","±56.6"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18","(X)","18","","9","0","9","0","0","0","0","0","9","0","9","0","0","0","0","0","","9","(X)","9","9","0"
"            Margin of Error","±35","(X)","±35","","±17","±14","±17","±14","±14","±14","±14","±14","±18","±14","±18","±14","±14","±14","±14","±14","","±17","(X)","±17","±17","±14"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.0%","(X)","8.0%","","5.3%","-","5.3%","-","0.0%","-","0.0%","-","100.0%","-","100.0%","-","0.0%","-","0.0%","-","","1.1%","(X)","4.3%","5.3%","0.0%"
"            Margin of Error","±3.7","(X)","±14.1","","±9.5","**","±9.5","**","±65.9","**","±65.9","**","±100.0","**","±100.0","**","±80.1","**","±80.1","**","","±2.0","(X)","±7.8","±9.5","±56.6"
"ZCTA5 78719","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,709","858","851","","850","80","577","193","1","0","0","1","0","0","0","0","0","0","0","0","","1,193","654","539","538","1"
"        Margin of Error","±372","±288","±252","","±253","±74","±194","±66","±4","±14","±14","±4","±14","±14","±14","±14","±14","±14","±14","±14","","±328","±250","±171","±171","±4"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","50.2%","49.8%","","49.7%","4.7%","33.8%","11.3%","0.1%","0.0%","0.0%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","(X)","54.8%","45.2%","45.1%","0.1%"
"        Margin of Error","(X)","±11.6","±11.6","","±11.6","±4.0","±9.2","±4.2","±0.2","±2.6","±2.6","±0.2","±2.6","±2.6","±2.6","±2.6","±2.6","±2.6","±2.6","±2.6","","(X)","±11.0","±11.0","±11.1","±0.3"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,399","(X)","541","","540","80","341","119","1","0","0","1","0","0","0","0","0","0","0","0","","1,106","(X)","452","451","1"
"            Margin of Error","±382","(X)","±197","","±197","±74","±146","±66","±4","±14","±14","±4","±14","±14","±14","±14","±14","±14","±14","±14","","±326","(X)","±155","±156","±4"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","81.9%","(X)","63.6%","","63.5%","100.0%","59.1%","61.7%","100.0%","-","-","100.0%","-","-","-","-","-","-","-","-","","92.7%","(X)","83.9%","83.8%","100.0%"
"            Margin of Error","±9.8","(X)","±14.8","","±14.8","±39.0","±17.6","±22.6","±100.0","**","**","±100.0","**","**","**","**","**","**","**","**","","±5.1","(X)","±9.9","±9.9","±100.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","310","(X)","310","","310","0","236","74","0","0","0","0","0","0","0","0","0","0","0","0","","87","(X)","87","87","0"
"            Margin of Error","±160","(X)","±160","","±160","±14","±136","±43","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","±14","","±59","(X)","±59","±59","±14"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","18.1%","(X)","36.4%","","36.5%","0.0%","40.9%","38.3%","0.0%","-","-","0.0%","-","-","-","-","-","-","-","-","","7.3%","(X)","16.1%","16.2%","0.0%"
