"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Margin of Error","±616","±76","±368","±72","±197","±245","±252","±334","±56","±345","±184","±297","±210","±76","±210","±209","±243","±242","±158","±157","±235","±107","±260","±179","±290","±75","±611","±283","±332","±181","±246","±181","±206","±99"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1.8%","78.7%","2.4%","19.1%","28.4%","28.8%","17.9%","1.6%","19.5%","12.7%","25.8%","(X)","25.7%","(X)","97.0%","(X)","99.2%","(X)","99.2%","(X)","48.5%","(X)","36.6%","(X)","7.2%","(X)","3.7%","(X)","35.2%","(X)","40.8%","(X)","28.8%"
"        Margin of Error","(X)","±1.7","±6.3","±1.7","±3.8","±4.9","±5.8","±5.8","±1.2","±5.9","±7.4","±10.4","(X)","±24.7","(X)","±4.6","(X)","±1.2","(X)","±1.0","(X)","±26.5","(X)","±17.8","(X)","±5.9","(X)","±2.4","(X)","±10.8","(X)","±24.0","(X)","±16.7"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","81","3,280","64","798","1,180","1,238","722","52","774","275","499","(X)","81","(X)","859","(X)","1,322","(X)","953","(X)","180","(X)","274","(X)","39","(X)","427","(X)","393","(X)","257","(X)","136"
"        Margin of Error","(X)","±76","±425","±66","±205","±258","±261","±317","±51","±327","±184","±273","(X)","±76","(X)","±206","(X)","±262","(X)","±165","(X)","±104","(X)","±179","(X)","±47","(X)","±285","(X)","±179","(X)","±181","(X)","±90"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","92.6%","100.0%","93.3%","59.3%","93.3%","93.2%","96.3%","90.5%","73.2%","89.1%","100.0%","84.0%","(X)","100.0%","(X)","91.1%","(X)","92.8%","(X)","96.1%","(X)","84.1%","(X)","100.0%","(X)","42.4%","(X)","96.2%","(X)","94.0%","(X)","100.0%","(X)","84.5%"
"        Margin of Error","±4.1","±38.8","±5.0","±39.3","±6.7","±6.2","±4.3","±8.4","±38.8","±8.2","±15.1","±12.2","(X)","±38.8","(X)","±7.6","(X)","±6.2","(X)","±5.2","(X)","±16.5","(X)","±15.1","(X)","±43.4","(X)","±8.4","(X)","±8.1","(X)","±16.0","(X)","±18.5"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0","235","44","57","86","48","76","19","95","0","95","(X)","0","(X)","84","(X)","103","(X)","39","(X)","34","(X)","0","(X)","53","(X)","17","(X)","25","(X)","0","(X)","25"
"        Margin of Error","(X)","±22","±171","±53","±55","±76","±54","±67","±28","±71","±22","±71","(X)","±22","(X)","±74","(X)","±84","(X)","±50","(X)","±34","(X)","±22","(X)","±58","(X)","±29","(X)","±34","(X)","±22","(X)","±34"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7.4%","0.0%","6.7%","40.7%","6.7%","6.8%","3.7%","9.5%","26.8%","10.9%","0.0%","16.0%","(X)","0.0%","(X)","8.9%","(X)","7.2%","(X)","3.9%","(X)","15.9%","(X)","0.0%","(X)","57.6%","(X)","3.8%","(X)","6.0%","(X)","0.0%","(X)","15.5%"
"        Margin of Error","±4.1","±38.8","±5.0","±39.3","±6.7","±6.2","±4.3","±8.4","±38.8","±8.2","±15.1","±12.2","(X)","±38.8","(X)","±7.6","(X)","±6.2","(X)","±5.2","(X)","±16.5","(X)","±15.1","(X)","±43.4","(X)","±8.4","(X)","±8.1","(X)","±16.0","(X)","±18.5"
"ZCTA5 78660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,654","1,605","22,036","1,000","5,683","8,928","6,425","3,977","1,036","5,013","2,584","2,429","2,828","1,318","6,728","6,327","10,208","10,049","5,112","5,052","2,474","1,600","4,376","1,472","16,929","944","49,828","1,892","6,850","2,265","3,479","1,272","3,371","993"
"        Margin of Error","±3,443","±462","±3,217","±356","±880","±2,333","±982","±988","±359","±1,034","±564","±649","±629","±427","±887","±856","±2,363","±2,365","±992","±988","±587","±372","±886","±483","±1,757","±293","±2,298","±476","±1,123","±708","±691","±426","±696","±382"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.6%","76.9%","3.5%","19.8%","31.2%","22.4%","13.9%","3.6%","17.5%","18.0%","17.0%","(X)","46.6%","(X)","94.0%","(X)","98.4%","(X)","98.8%","(X)","64.7%","(X)","33.6%","(X)","5.6%","(X)","3.8%","(X)","33.1%","(X)","36.6%","(X)","29.5%"
"        Margin of Error","(X)","±1.7","±4.0","±1.3","±2.1","±5.2","±3.6","±3.4","±1.2","±3.5","±3.7","±4.4","(X)","±12.0","(X)","±3.3","(X)","±1.9","(X)","±1.6","(X)","±12.8","(X)","±7.4","(X)","±1.8","(X)","±0.9","(X)","±6.9","(X)","±8.9","(X)","±9.8"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","798","20,793","979","5,350","8,324","6,140","3,325","750","4,075","2,352","1,723","(X)","709","(X)","5,888","(X)","9,280","(X)","4,933","(X)","1,473","(X)","1,338","(X)","777","(X)","1,268","(X)","2,027","(X)","1,190","(X)","837"
"        Margin of Error","(X)","±338","±3,206","±344","±849","±2,355","±963","±816","±319","±862","±542","±463","(X)","±340","(X)","±843","(X)","±2,382","(X)","±970","(X)","±372","(X)","±461","(X)","±283","(X)","±405","(X)","±693","(X)","±431","(X)","±363"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.6%","49.7%","94.4%","97.9%","94.1%","93.2%","95.6%","83.6%","72.4%","81.3%","91.0%","70.9%","(X)","53.8%","(X)","93.1%","(X)","92.3%","(X)","97.6%","(X)","92.1%","(X)","90.9%","(X)","82.3%","(X)","67.0%","(X)","89.5%","(X)","93.6%","(X)","84.3%"
"        Margin of Error","±2.3","±14.9","±1.9","±3.6","±3.0","±4.0","±3.7","±6.0","±16.9","±6.2","±5.5","±10.1","(X)","±16.3","(X)","±3.8","(X)","±3.8","(X)","±1.8","(X)","±6.0","(X)","±7.8","(X)","±13.8","(X)","±15.0","(X)","±6.3","(X)","±5.2","(X)","±13.5"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","807","1,243","21","333","604","285","652","286","938","232","706","(X)","609","(X)","439","(X)","769","(X)","119","(X)","127","(X)","134","(X)","167","(X)","624","(X)","238","(X)","82","(X)","156"
"        Margin of Error","(X)","±329","±399","±38","±178","±310","±240","±311","±194","±379","±147","±346","(X)","±269","(X)","±240","(X)","±327","(X)","±94","(X)","±94","(X)","±117","(X)","±135","(X)","±337","(X)","±133","(X)","±57","(X)","±136"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.4%","50.3%","5.6%","2.1%","5.9%","6.8%","4.4%","16.4%","27.6%","18.7%","9.0%","29.1%","(X)","46.2%","(X)","6.9%","(X)","7.7%","(X)","2.4%","(X)","7.9%","(X)","9.1%","(X)","17.7%","(X)","33.0%","(X)","10.5%","(X)","6.4%","(X)","15.7%"
"        Margin of Error","±2.3","±14.9","±1.9","±3.6","±3.0","±4.0","±3.7","±6.0","±16.9","±6.2","±5.5","±10.1","(X)","±16.3","(X)","±3.8","(X)","±3.8","(X)","±1.8","(X)","±6.0","(X)","±7.8","(X)","±13.8","(X)","±15.0","(X)","±6.3","(X)","±5.2","(X)","±13.5"
"ZCTA5 78663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","120","0","120","74","6","4","36","0","0","0","0","0","0","0","80","80","4","4","22","5","31","31","17","0","23","0","602","0","48","0","25","0","23","0"
"        Margin of Error","±101","±14","±101","±93","±10","±7","±37","±14","±14","±14","±14","±14","±14","±14","±92","±92","±7","±7","±27","±6","±36","±36","±27","±14","±21","±14","±215","±14","±48","±14","±35","±14","±33","±14"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0.0%","100.0%","61.7%","5.0%","3.3%","30.0%","0.0%","0.0%","0.0%","0.0%","0.0%","(X)","-","(X)","100.0%","(X)","100.0%","(X)","22.7%","(X)","100.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%"
"        Margin of Error","(X)","±30.3","±30.3","±44.3","±12.2","±6.4","±36.8","±30.3","±30.3","±30.3","±36.4","±64.8","(X)","**","(X)","±39.0","(X)","±100.0","(X)","±45.5","(X)","±62.7","(X)","±84.6","(X)","±72.8","(X)","±7.2","(X)","±50.4","(X)","±69.8","(X)","±72.8"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0","50","4","6","4","36","0","0","0","0","0","(X)","0","(X)","10","(X)","4","(X)","5","(X)","31","(X)","0","(X)","0","(X)","0","(X)","0","(X)","0","(X)","0"
"        Margin of Error","(X)","±14","±42","±8","±10","±7","±37","±14","±14","±14","±14","±14","(X)","±14","(X)","±13","(X)","±7","(X)","±6","(X)","±36","(X)","±14","(X)","±14","(X)","±14","(X)","±14","(X)","±14","(X)","±14"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","41.7%","-","41.7%","5.4%","100.0%","100.0%","100.0%","-","-","-","-","-","(X)","-","(X)","12.5%","(X)","100.0%","(X)","100.0%","(X)","100.0%","(X)","-","(X)","-","(X)","-","(X)","-","(X)","-","(X)","-"
"        Margin of Error","±46.4","**","±46.4","±17.3","±100.0","±100.0","±58.2","**","**","**","**","**","(X)","**","(X)","±32.7","(X)","±100.0","(X)","±100.0","(X)","±62.7","(X)","**","(X)","**","(X)","**","(X)","**","(X)","**","(X)","**"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0","70","70","0","0","0","0","0","0","0","0","(X)","0","(X)","70","(X)","0","(X)","0","(X)","0","(X)","0","(X)","0","(X)","0","(X)","0","(X)","0","(X)","0"
"        Margin of Error","(X)","±14","±91","±91","±14","±14","±14","±14","±14","±14","±14","±14","(X)","±14","(X)","±91","(X)","±14","(X)","±14","(X)","±14","(X)","±14","(X)","±14","(X)","±14","(X)","±14","(X)","±14","(X)","±14"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","58.3%","-","58.3%","94.6%","0.0%","0.0%","0.0%","-","-","-","-","-","(X)","-","(X)","87.5%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","-","(X)","-","(X)","-","(X)","-","(X)","-","(X)","-"
"        Margin of Error","±46.4","**","±46.4","±17.3","±100.0","±100.0","±58.2","**","**","**","**","**","(X)","**","(X)","±32.7","(X)","±100.0","(X)","±100.0","(X)","±62.7","(X)","**","(X)","**","(X)","**","(X)","**","(X)","**","(X)","**"
"ZCTA5 78664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,327","1,174","11,373","899","2,570","3,444","4,460","2,997","783","3,780","1,697","2,083","1,643","945","3,884","3,442","4,222","4,040","3,530","3,314","1,802","1,159","4,440","1,437","10,916","1,161","31,371","829","6,242","1,813","3,883","1,044","2,359","769"
"        Margin of Error","±1,309","±333","±1,030","±299","±467","±547","±733","±610","±462","±771","±381","±602","±355","±313","±589","±544","±572","±562","±495","±471","±364","±312","±591","±389","±1,028","±506","±1,684","±292","±681","±421","±545","±271","±433","±290"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.2%","69.7%","5.5%","15.7%","21.1%","27.3%","18.4%","4.8%","23.2%","21.5%","24.7%","(X)","57.5%","(X)","88.6%","(X)","95.7%","(X)","93.9%","(X)","64.3%","(X)","32.4%","(X)","10.6%","(X)","2.6%","(X)","29.0%","(X)","26.9%","(X)","32.6%"
"        Margin of Error","(X)","±2.0","±4.3","±1.8","±2.6","±3.1","±4.2","±3.1","±2.8","±3.8","±4.2","±5.6","(X)","±12.4","(X)","±5.4","(X)","±5.0","(X)","±4.8","(X)","±11.2","(X)","±7.1","(X)","±4.3","(X)","±0.9","(X)","±6.0","(X)","±6.5","(X)","±9.8"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","681","10,543","799","2,503","3,046","4,195","2,470","355","2,825","1,349","1,476","(X)","468","(X)","3,259","(X)","3,601","(X)","3,138","(X)","1,068","(X)","1,256","(X)","681","(X)","578","(X)","1,589","(X)","906","(X)","683"
"        Margin of Error","(X)","±234","±1,088","±302","±466","±475","±735","±535","±194","±594","±324","±427","(X)","±203","(X)","±538","(X)","±552","(X)","±460","(X)","±313","(X)","±358","(X)","±304","(X)","±234","(X)","±378","(X)","±246","(X)","±287"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","86.0%","58.0%","92.7%","88.9%","97.4%","88.4%","94.1%","82.4%","45.3%","74.7%","79.5%","70.9%","(X)","49.5%","(X)","94.7%","(X)","89.1%","(X)","94.7%","(X)","92.1%","(X)","87.4%","(X)","58.7%","(X)","69.7%","(X)","87.6%","(X)","86.8%","(X)","88.8%"
"        Margin of Error","±3.8","±13.2","±3.2","±9.0","±2.0","±5.7","±4.0","±5.9","±29.3","±9.7","±8.2","±16.1","(X)","±14.8","(X)","±2.8","(X)","±5.4","(X)","±4.2","(X)","±6.5","(X)","±7.9","(X)","±26.2","(X)","±15.4","(X)","±6.6","(X)","±8.7","(X)","±10.9"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","493","830","100","67","398","265","527","428","955","348","607","(X)","477","(X)","183","(X)","439","(X)","176","(X)","91","(X)","181","(X)","480","(X)","251","(X)","224","(X)","138","(X)","86"
"        Margin of Error","(X)","±220","±354","±78","±51","±220","±174","±203","±404","±456","±163","±425","(X)","±218","(X)","±97","(X)","±224","(X)","±144","(X)","±73","(X)","±124","(X)","±417","(X)","±156","(X)","±136","(X)","±101","(X)","±83"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14.0%","42.0%","7.3%","11.1%","2.6%","11.6%","5.9%","17.6%","54.7%","25.3%","20.5%","29.1%","(X)","50.5%","(X)","5.3%","(X)","10.9%","(X)","5.3%","(X)","7.9%","(X)","12.6%","(X)","41.3%","(X)","30.3%","(X)","12.4%","(X)","13.2%","(X)","11.2%"
"        Margin of Error","±3.8","±13.2","±3.2","±9.0","±2.0","±5.7","±4.0","±5.9","±29.3","±9.7","±8.2","±16.1","(X)","±14.8","(X)","±2.8","(X)","±5.4","(X)","±4.2","(X)","±6.5","(X)","±7.9","(X)","±26.2","(X)","±15.4","(X)","±6.6","(X)","±8.7","(X)","±10.9"
"ZCTA5 78669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,948","269","2,288","271","588","840","589","253","138","391","239","152","462","277","802","800","926","926","449","446","201","175","245","91","1,318","85","8,948","148","446","158","261","59","185","99"
"        Margin of Error","±413","±101","±417","±100","±210","±275","±159","±144","±130","±189","±156","±109","±169","±116","±225","±225","±300","±300","±148","±149","±110","±106","±120","±95","±409","±102","±789","±125","±158","±112","±124","±64","±116","±99"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.1%","77.6%","9.2%","19.9%","28.5%","20.0%","8.6%","4.7%","13.3%","17.5%","9.6%","(X)","60.0%","(X)","99.8%","(X)","100.0%","(X)","99.3%","(X)","87.1%","(X)","37.1%","(X)","6.4%","(X)","1.7%","(X)","35.4%","(X)","22.6%","(X)","53.5%"
"        Margin of Error","(X)","±3.7","±7.2","±3.1","±6.5","±7.3","±5.2","±5.0","±4.1","±6.0","±9.5","±6.6","(X)","±17.4","(X)","±0.6","(X)","±4.7","(X)","±1.2","(X)","±15.1","(X)","±28.5","(X)","±7.0","(X)","±1.4","(X)","±20.1","(X)","±23.8","(X)","±32.9"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","89","1,993","140","551","753","549","201","9","210","108","102","(X)","89","(X)","640","(X)","854","(X)","391","(X)","151","(X)","35","(X)","85","(X)","47","(X)","78","(X)","29","(X)","49"
"        Margin of Error","(X)","±57","±401","±79","±206","±259","±153","±134","±10","±136","±99","±65","(X)","±57","(X)","±225","(X)","±275","(X)","±147","(X)","±104","(X)","±39","(X)","±102","(X)","±41","(X)","±58","(X)","±40","(X)","±44"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77.7%","33.1%","87.1%","51.7%","93.7%","89.6%","93.2%","79.4%","6.5%","53.7%","45.2%","67.1%","(X)","32.1%","(X)","80.0%","(X)","92.2%","(X)","87.7%","(X)","86.3%","(X)","38.5%","(X)","100.0%","(X)","31.8%","(X)","49.4%","(X)","49.2%","(X)","49.5%"
"        Margin of Error","±7.6","±20.9","±5.9","±26.9","±6.6","±9.0","±6.7","±19.3","±11.8","±26.7","±34.7","±38.4","(X)","±21.4","(X)","±10.7","(X)","±7.5","(X)","±12.3","(X)","±26.8","(X)","±44.7","(X)","±37.8","(X)","±37.2","(X)","±35.9","(X)","±48.0","(X)","±47.3"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","180","295","131","37","87","40","52","129","181","131","50","(X)","188","(X)","160","(X)","72","(X)","55","(X)","24","(X)","56","(X)","0","(X)","101","(X)","80","(X)","30","(X)","50"
"        Margin of Error","(X)","±91","±140","±97","±38","±81","±41","±50","±130","±140","±122","±85","(X)","±106","(X)","±81","(X)","±78","(X)","±56","(X)","±45","(X)","±86","(X)","±22","(X)","±118","(X)","±96","(X)","±48","(X)","±85"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22.3%","66.9%","12.9%","48.3%","6.3%","10.4%","6.8%","20.6%","93.5%","46.3%","54.8%","32.9%","(X)","67.9%","(X)","20.0%","(X)","7.8%","(X)","12.3%","(X)","13.7%","(X)","61.5%","(X)","0.0%","(X)","68.2%","(X)","50.6%","(X)","50.8%","(X)","50.5%"
"        Margin of Error","±7.6","±20.9","±5.9","±26.9","±6.6","±9.0","±6.7","±19.3","±11.8","±26.7","±34.7","±38.4","(X)","±21.4","(X)","±10.7","(X)","±7.5","(X)","±12.3","(X)","±26.8","(X)","±44.7","(X)","±37.8","(X)","±37.2","(X)","±35.9","(X)","±48.0","(X)","±47.3"
"ZCTA5 78701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,125","9","125","68","0","38","19","596","395","991","535","456","68","68","32","9","57","57","8","0","97","84","983","494","3,854","309","6,718","104","1,080","578","668","293","412","285"
"        Margin of Error","±300","±18","±107","±100","±22","±33","±32","±196","±172","±267","±218","±160","±100","±100","±32","±18","±45","±45","±17","±22","±96","±94","±270","±166","±886","±179","±1,349","±78","±290","±194","±243","±160","±183","±153"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0.8%","11.1%","6.0%","0.0%","3.4%","1.7%","53.0%","35.1%","88.1%","95.0%","81.1%","(X)","100.0%","(X)","28.1%","(X)","100.0%","(X)","0.0%","(X)","86.6%","(X)","50.3%","(X)","8.0%","(X)","1.5%","(X)","53.5%","(X)","43.9%","(X)","69.2%"
"        Margin of Error","(X)","±1.6","±8.5","±8.3","±3.9","±3.0","±2.8","±11.8","±12.1","±8.9","±6.8","±15.1","(X)","±42.3","(X)","±47.8","(X)","±46.2","(X)","±100.0","(X)","±26.3","(X)","±16.4","(X)","±4.6","(X)","±1.2","(X)","±15.5","(X)","±20.6","(X)","±19.4"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9","34","0","0","15","19","534","316","850","464","386","(X)","0","(X)","9","(X)","34","(X)","0","(X)","84","(X)","435","(X)","232","(X)","99","(X)","519","(X)","277","(X)","242"
"        Margin of Error","(X)","±18","±38","±22","±22","±21","±32","±186","±161","±255","±203","±155","(X)","±22","(X)","±18","(X)","±38","(X)","±22","(X)","±94","(X)","±155","(X)","±163","(X)","±79","(X)","±186","(X)","±157","(X)","±143"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79.4%","100.0%","27.2%","0.0%","-","39.5%","100.0%","89.6%","80.0%","85.8%","86.7%","84.6%","(X)","0.0%","(X)","100.0%","(X)","59.6%","(X)","-","(X)","100.0%","(X)","88.1%","(X)","75.1%","(X)","95.2%","(X)","89.8%","(X)","94.5%","(X)","84.9%"
"        Margin of Error","±10.6","±100.0","±36.3","±42.3","**","±42.5","±80.1","±9.6","±17.7","±9.1","±12.2","±13.6","(X)","±42.3","(X)","±100.0","(X)","±39.4","(X)","**","(X)","±38.1","(X)","±10.9","(X)","±23.3","(X)","±8.8","(X)","±9.5","(X)","±8.9","(X)","±17.2"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0","91","68","0","23","0","62","79","141","71","70","(X)","68","(X)","0","(X)","23","(X)","0","(X)","0","(X)","59","(X)","77","(X)","5","(X)","59","(X)","16","(X)","43"
"        Margin of Error","(X)","±22","±103","±100","±22","±24","±22","±60","±72","±93","±67","±63","(X)","±100","(X)","±22","(X)","±24","(X)","±22","(X)","±22","(X)","±58","(X)","±74","(X)","±7","(X)","±58","(X)","±25","(X)","±52"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20.6%","0.0%","72.8%","100.0%","-","60.5%","0.0%","10.4%","20.0%","14.2%","13.3%","15.4%","(X)","100.0%","(X)","0.0%","(X)","40.4%","(X)","-","(X)","0.0%","(X)","11.9%","(X)","24.9%","(X)","4.8%","(X)","10.2%","(X)","5.5%","(X)","15.1%"
"        Margin of Error","±10.6","±100.0","±36.3","±42.3","**","±42.5","±80.1","±9.6","±17.7","±9.1","±12.2","±13.6","(X)","±42.3","(X)","±100.0","(X)","±39.4","(X)","**","(X)","±38.1","(X)","±10.9","(X)","±23.3","(X)","±8.8","(X)","±9.5","(X)","±8.9","(X)","±17.2"
"ZCTA5 78702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,459","323","2,707","230","1,028","743","706","1,344","1,085","2,429","1,100","1,329","436","172","1,396","1,318","807","807","652","586","325","273","1,357","784","7,762","1,046","11,587","473","1,682","1,031","628","445","1,054","586"
"        Margin of Error","±949","±169","±583","±111","±227","±312","±256","±466","±466","±704","±358","±440","±179","±90","±270","±261","±291","±291","±265","±241","±202","±202","±382","±320","±888","±485","±1,315","±212","±502","±449","±253","±228","±374","±349"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.9%","49.6%","4.2%","18.8%","13.6%","12.9%","24.6%","19.9%","44.5%","42.9%","46.0%","(X)","39.4%","(X)","94.4%","(X)","100.0%","(X)","89.9%","(X)","84.0%","(X)","57.8%","(X)","13.5%","(X)","4.1%","(X)","61.3%","(X)","70.9%","(X)","55.6%"
"        Margin of Error","(X)","±3.3","±8.1","±2.0","±4.4","±4.9","±4.0","±6.7","±7.1","±8.1","±9.6","±10.0","(X)","±17.6","(X)","±6.5","(X)","±5.4","(X)","±15.7","(X)","±14.6","(X)","±12.0","(X)","±5.3","(X)","±1.9","(X)","±12.0","(X)","±12.4","(X)","±18.6"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","303","2,238","172","933","592","541","1,057","938","1,995","913","1,082","(X)","152","(X)","1,175","(X)","632","(X)","431","(X)","145","(X)","617","(X)","960","(X)","424","(X)","736","(X)","281","(X)","455"
"        Margin of Error","(X)","±169","±483","±92","±232","±292","±197","±350","±445","±588","±293","±392","(X)","±87","(X)","±259","(X)","±275","(X)","±178","(X)","±152","(X)","±218","(X)","±478","(X)","±203","(X)","±310","(X)","±98","(X)","±298"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.1%","93.8%","82.7%","74.8%","90.8%","79.7%","76.6%","78.6%","86.5%","82.1%","83.0%","81.4%","(X)","88.4%","(X)","89.2%","(X)","78.3%","(X)","73.5%","(X)","53.1%","(X)","78.7%","(X)","91.8%","(X)","89.6%","(X)","71.4%","(X)","63.1%","(X)","77.6%"
"        Margin of Error","±5.7","±7.0","±8.4","±21.2","±7.9","±15.5","±19.9","±8.0","±11.3","±7.0","±14.1","±9.6","(X)","±11.7","(X)","±8.7","(X)","±14.5","(X)","±23.2","(X)","±36.5","(X)","±14.4","(X)","±6.8","(X)","±9.4","(X)","±12.3","(X)","±25.9","(X)","±16.3"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","20","469","58","95","151","165","287","147","434","187","247","(X)","20","(X)","143","(X)","175","(X)","155","(X)","128","(X)","167","(X)","86","(X)","49","(X)","295","(X)","164","(X)","131"
"        Margin of Error","(X)","±19","±266","±58","±81","±116","±165","±164","±124","±220","±178","±144","(X)","±19","(X)","±118","(X)","±120","(X)","±165","(X)","±126","(X)","±155","(X)","±67","(X)","±44","(X)","±200","(X)","±178","(X)","±110"
