"Label (Grouping)","Families","Families!!With related children of householder under 18 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years","Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years","Families!!RACE AND HISPANIC OR LATINO ORIGIN","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino","Families!!Householder worked","Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months","Families!!Householder 65 years and over","Families!!Family received --","Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months","Families!!Family received --!!Social security income in the past 12 months","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder","Families!!NUMBER OF PEOPLE IN FAMILY","Families!!NUMBER OF PEOPLE IN FAMILY!!2 people","Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people","Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people","Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people","Families!!NUMBER OF WORKERS IN FAMILY","Families!!NUMBER OF WORKERS IN FAMILY!!No workers","Families!!NUMBER OF WORKERS IN FAMILY!!1 worker","Families!!NUMBER OF WORKERS IN FAMILY!!2 workers","Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers","Families!!INCOME DEFICIT","Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)","Families!!TENURE","Families!!TENURE!!Owner occupied","Families!!TENURE!!Renter Occupied","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3.9%","10.7%","15.5%","0.0%","11.6%","","","3.2%","0.0%","-","100.0%","-","0.0%","0.0%","5.6%","1.8%","5.2%","2.1%","0.0%","","0.0%","0.0%","","0.0%","0.0%","4.9%","5.3%","","0.0%","13.3%","0.0%","-","","0.0%","14.9%","0.0%","-","","2.1%","7.6%","0.0%","-","","0.0%","14.4%","0.0%","0.0%","","(X)","","2.0%","9.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±3.4","±9.4","±22.6","±38.8","±13.1","","","±3.4","±38.8","**","±82.2","**","±90.1","±30.7","±8.9","±2.7","±4.6","±3.4","±12.7","","±96.8","±11.8","","±39.5","±14.2","±7.2","±5.8","","±4.6","±11.9","±33.5","**","","±4.4","±13.1","±33.5","**","","±3.4","±8.1","±29.6","**","","±21.6","±11.8","±5.2","±42.3","","(X)","","±3.1","±9.8","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,353","429","98","81","250","","","1,139","81","0","0","0","15","118","347","925","1,041","811","318","","12","344","","78","244","301","730","","924","325","104","0","","944","305","104","0","","793","436","124","0","","180","354","751","68","","N","","1,040","313","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±261","±141","±64","±72","±113","","","±228","±87","±20","±20","±20","±25","±125","±163","±193","±237","±228","±122","","±22","±131","","±113","±133","±118","±195","","±247","±120","±77","±20","","±246","±118","±77","±20","","±214","±136","±86","±20","","±104","±139","±207","±44","","N","","±209","±161","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1.6%","5.1%","0.0%","0.0%","8.8%","","","1.9%","0.0%","-","-","-","0.0%","0.0%","6.3%","0.0%","2.1%","0.0%","0.0%","","0.0%","0.0%","","0.0%","0.0%","0.0%","3.0%","","0.0%","6.8%","0.0%","-","","0.0%","7.2%","0.0%","-","","0.0%","5.0%","0.0%","-","","0.0%","6.2%","0.0%","0.0%","","(X)","","2.1%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±2.6","±8.0","±34.8","±38.8","±14.1","","","±3.0","±38.8","**","**","**","±90.1","±30.7","±10.2","±4.7","±3.4","±5.4","±13.2","","±100.0","±12.2","","±39.5","±16.8","±13.9","±4.6","","±4.7","±10.6","±33.5","**","","±4.7","±11.1","±33.5","**","","±5.5","±7.8","±29.6","**","","±21.9","±9.9","±5.8","±42.3","","(X)","","±3.3","±13.4","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","115","93","0","0","93","","","115","0","0","0","0","0","0","47","68","66","20","2","","0","2","","0","49","66","0","","22","93","0","0","","50","65","0","0","","22","93","0","0","","0","20","95","0","","N","","48","67","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±99","±89","±20","±20","±89","","","±99","±20","±20","±20","±20","±20","±20","±77","±65","±65","±30","±3","","±20","±3","","±20","±77","±65","±20","","±31","±89","±20","±20","","±50","±81","±20","±20","","±31","±89","±20","±20","","±20","±28","±91","±20","","N","","±50","±81","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","15.7%","19.4%","-","-","19.4%","","","15.7%","-","-","-","-","-","-","0.0%","26.5%","27.3%","0.0%","0.0%","","-","0.0%","","-","0.0%","27.3%","-","","0.0%","19.4%","-","-","","0.0%","27.7%","-","-","","0.0%","19.4%","-","-","","-","90.0%","0.0%","-","","(X)","","0.0%","26.9%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±24.3","±34.5","**","**","±34.5","","","±24.3","**","**","**","**","**","**","±50.9","±34.6","±35.7","±78.0","±100.0","","**","±100.0","","**","±49.9","±35.7","**","","±74.4","±34.5","**","**","","±49.4","±55.7","**","**","","±74.4","±34.5","**","**","","**","±30.1","±35.5","**","","(X)","","±50.4","±52.8","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6,681","4,135","603","1,349","2,183","","","3,436","1,555","33","160","0","1,116","381","2,833","1,940","5,541","4,738","455","","140","1,170","","1,160","1,705","2,081","1,735","","2,546","2,724","1,347","64","","3,054","2,460","1,108","59","","2,259","2,938","1,371","113","","428","2,031","3,336","886","","N","","5,785","896","","272","802","961","1,435","1,531","2,745","4,078","4,941"
"            Margin of Error","±643","±470","±217","±452","±327","","","±434","±411","±45","±104","±26","±290","±205","±510","±310","±586","±613","±134","","±97","±375","","±478","±389","±480","±344","","±507","±416","±444","±59","","±633","±409","±355","±59","","±438","±525","±462","±76","","±200","±441","±437","±409","","N","","±608","±322","","±169","±359","±367","±402","±423","±461","±563","±648"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","10.8%","13.0%","2.8%","17.3%","13.1%","","","8.4%","14.1%","0.0%","15.0%","-","15.5%","4.5%","13.3%","4.4%","5.5%","1.4%","16.9%","","15.0%","34.4%","","23.5%","13.7%","7.4%","3.5%","","7.3%","8.8%","21.5%","7.8%","","12.5%","9.5%","9.7%","0.0%","","10.5%","8.9%","15.0%","15.9%","","52.8%","19.5%","2.9%","0.6%","","(X)","","8.5%","25.8%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±5.0","±7.7","±4.3","±17.7","±8.6","","","±7.6","±9.3","±60.7","±32.3","**","±11.9","±6.9","±9.9","±4.7","±3.1","±1.6","±18.7","","±19.6","±17.2","","±21.6","±9.0","±5.8","±4.5","","±4.4","±6.3","±18.5","±22.8","","±8.0","±7.0","±10.5","±45.4","","±6.5","±5.8","±17.2","±20.0","","±22.3","±11.7","±3.2","±1.5","","(X)","","±5.0","±15.3","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,318","2,534","493","931","1,110","","","2,690","639","33","124","0","618","214","1,863","1,562","3,633","3,147","339","","74","637","","727","953","1,093","1,545","","1,784","1,507","963","64","","1,930","1,423","906","59","","1,360","1,693","1,180","85","","264","901","2,566","587","","N","","3,806","512","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±406","±337","±201","±371","±235","","","±392","±228","±45","±101","±26","±215","±114","±399","±290","±399","±412","±122","","±68","±192","","±393","±289","±303","±320","","±354","±299","±400","±59","","±364","±304","±398","±59","","±345","±335","±383","±68","","±153","±201","±377","±217","","N","","±345","±254","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.3%","2.4%","3.4%","3.1%","1.4%","","","2.9%","7.2%","0.0%","19.4%","-","3.7%","7.9%","1.2%","4.9%","2.3%","1.5%","18.9%","","0.0%","13.2%","","3.2%","13.5%","2.0%","0.8%","","7.1%","1.1%","4.0%","7.8%","","7.3%","1.5%","2.6%","0.0%","","9.3%","1.0%","3.3%","5.9%","","34.1%","8.8%","0.5%","0.9%","","(X)","","3.2%","12.5%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±2.7","±2.7","±5.2","±6.0","±2.1","","","±3.4","±8.0","±60.7","±41.3","**","±6.1","±11.9","±2.1","±5.9","±1.8","±2.0","±23.9","","±40.6","±13.9","","±5.8","±11.1","±2.7","±1.5","","±5.1","±1.8","±6.5","±22.8","","±4.7","±2.1","±6.1","±45.4","","±6.5","±1.6","±5.2","±15.8","","±31.5","±7.5","±0.9","±2.2","","(X)","","±2.3","±15.5","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,664","1,149","36","373","740","","","553","655","0","22","0","425","9","749","229","1,286","993","52","","19","359","","371","350","806","137","","515","801","348","0","","807","691","166","0","","493","952","191","28","","140","753","525","246","","N","","1,318","346","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±503","±385","±45","±297","±241","","","±294","±343","±26","±32","±26","±190","±15","±356","±107","±412","±394","±42","","±23","±289","","±315","±202","±359","±99","","±320","±242","±289","±26","","±429","±240","±125","±26","","±218","±396","±262","±32","","±127","±317","±228","±323","","N","","±492","±176","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","31.7%","41.3%","0.0%","55.0%","36.5%","","","38.5%","25.2%","-","0.0%","-","35.3%","0.0%","47.4%","3.5%","17.1%","1.9%","25.0%","","68.4%","86.4%","","67.4%","30.0%","15.5%","35.0%","","10.3%","28.0%","72.1%","-","","28.9%","30.5%","50.6%","-","","22.5%","24.9%","87.4%","46.4%","","91.4%","42.1%","15.8%","0.0%","","(X)","","27.4%","48.3%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±17.0","±20.2","±58.2","±41.9","±20.8","","","±34.6","±24.5","**","±74.4","**","±27.2","±100.0","±25.2","±5.1","±12.0","±3.7","±37.4","","±68.4","±15.7","","±36.1","±25.2","±15.5","±43.8","","±12.5","±17.5","±33.1","**","","±26.6","±20.4","±35.8","**","","±21.1","±18.0","±39.3","±53.6","","±16.5","±25.3","±17.9","±16.6","","(X)","","±19.3","±29.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78654","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5,114","2,150","174","145","1,831","","","4,570","25","67","30","0","241","181","958","3,995","3,269","2,444","1,428","","308","2,016","","549","1,159","1,646","1,760","","2,964","1,568","530","52","","3,112","1,493","475","34","","2,637","1,709","680","88","","1,128","1,602","1,814","570","","N","","3,854","1,260","","64","758","1,066","1,344","1,517","2,145","2,730","3,355"
"            Margin of Error","±351","±307","±128","±111","±294","","","±361","±33","±60","±25","±22","±153","±113","±228","±346","±367","±358","±237","","±155","±323","","±219","±267","±333","±255","","±355","±349","±256","±62","","±345","±337","±252","±54","","±320","±345","±266","±70","","±249","±293","±285","±181","","N","","±367","±296","","±83","±342","±321","±350","±366","±341","±347","±343"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6.8%","13.9%","24.7%","21.4%","12.3%","","","7.2%","0.0%","0.0%","0.0%","-","6.2%","0.0%","12.2%","5.7%","4.3%","3.6%","1.3%","","0.6%","7.1%","","20.0%","14.3%","4.3%","0.0%","","1.6%","16.8%","6.6%","0.0%","","1.5%","17.7%","7.4%","0.0%","","1.2%","16.3%","5.1%","0.0%","","13.0%","8.2%","3.7%","0.0%","","(X)","","4.0%","15.1%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±3.5","±8.0","±34.2","±32.8","±8.6","","","±3.9","±69.8","±42.6","±63.7","**","±12.2","±21.8","±10.1","±3.4","±3.1","±3.7","±2.0","","±1.1","±6.8","","±18.9","±9.2","±4.9","±2.5","","±1.5","±10.0","±11.6","±48.4","","±1.5","±10.3","±12.9","±59.8","","±1.3","±9.7","±8.9","±37.1","","±11.9","±6.5","±2.6","±7.6","","(X)","","±3.6","±11.1","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,163","1,701","136","87","1,478","","","3,754","25","67","30","0","120","167","601","3,415","2,465","1,886","1,315","","238","1,686","","482","871","1,296","1,514","","2,462","1,137","530","34","","2,578","1,076","475","34","","2,157","1,270","666","70","","1,031","1,216","1,473","443","","N","","3,250","913","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±364","±279","±112","±77","±295","","","±359","±33","±60","±25","±22","±115","±110","±188","±340","±390","±361","±229","","±137","±315","","±211","±248","±336","±224","","±316","±253","±256","±54","","±302","±255","±252","±54","","±310","±253","±265","±62","","±251","±251","±296","±132","","N","","±328","±277","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6.4%","14.8%","31.6%","35.6%","12.0%","","","7.1%","0.0%","0.0%","0.0%","-","0.0%","0.0%","17.0%","4.8%","3.2%","3.9%","0.2%","","0.8%","8.5%","","22.8%","11.8%","4.1%","0.0%","","0.6%","19.0%","6.6%","0.0%","","0.6%","20.1%","7.4%","0.0%","","0.7%","17.0%","5.3%","0.0%","","12.6%","10.9%","0.3%","0.0%","","(X)","","4.3%","13.7%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±4.1","±10.0","±39.0","±42.9","±10.5","","","±4.4","±69.8","±42.6","±63.7","**","±30.3","±23.3","±16.0","±3.7","±3.7","±4.5","±0.2","","±1.4","±7.9","","±21.3","±11.3","±6.0","±2.9","","±0.8","±12.9","±11.6","±59.8","","±0.7","±13.5","±12.9","±59.8","","±0.9","±12.0","±9.1","±41.7","","±12.7","±8.4","±1.5","±9.7","","(X)","","±4.3","±13.7","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","732","328","38","0","290","","","611","0","0","0","0","121","0","245","487","616","417","82","","70","287","","67","230","216","219","","404","310","0","18","","422","310","0","0","","396","318","0","18","","66","313","226","127","","N","","474","258","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±220","±165","±65","±22","±146","","","±194","±22","±22","±22","±22","±95","±22","±125","±181","±198","±193","±83","","±82","±156","","±63","±115","±136","±142","","±178","±164","±22","±26","","±179","±164","±22","±22","","±171","±175","±22","±26","","±80","±152","±121","±124","","N","","±171","±138","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","8.6%","14.6%","0.0%","-","16.6%","","","7.9%","-","-","-","-","12.4%","-","6.1%","9.9%","10.2%","3.6%","0.0%","","0.0%","0.0%","","0.0%","27.4%","0.0%","0.0%","","3.7%","15.5%","-","0.0%","","3.6%","15.5%","-","-","","0.0%","19.8%","-","0.0%","","0.0%","0.0%","27.9%","0.0%","","(X)","","3.2%","18.6%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±7.2","±13.0","±56.6","**","±14.4","","","±7.5","**","**","**","**","±23.0","**","±11.7","±9.5","±8.8","±7.6","±38.5","","±41.7","±14.5","","±42.6","±23.4","±18.7","±18.5","","±7.4","±14.2","**","±82.3","","±7.2","±14.2","**","**","","±10.7","±17.3","**","±82.3","","±43.0","±13.4","±18.7","±29.0","","(X)","","±6.5","±18.5","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","25,153","15,134","2,388","2,391","10,355","","","16,165","3,319","44","2,159","13","1,056","2,397","7,892","11,547","21,847","18,074","2,185","","807","3,597","","1,977","4,852","6,957","11,367","","10,019","12,301","2,734","99","","11,031","11,660","2,394","68","","9,215","10,771","4,748","419","","1,341","5,979","13,278","4,555","","6,556","","20,399","4,754","","149","1,166","1,635","2,736","2,936","6,948","10,612","15,008"
"            Margin of Error","±1,200","±1,221","±548","±516","±1,377","","","±991","±579","±56","±487","±24","±298","±1,088","±1,268","±840","±1,225","±1,198","±428","","±242","±498","","±429","±1,208","±902","±1,177","","±927","±1,276","±853","±76","","±969","±1,287","±813","±66","","±834","±944","±1,156","±155","","±327","±711","±1,208","±1,104","","±1,540","","±1,238","±647","","±87","±294","±340","±419","±411","±848","±1,229","±1,392"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3.6%","4.5%","0.0%","3.6%","5.8%","","","3.7%","5.1%","0.0%","5.2%","0.0%","1.8%","0.6%","3.7%","2.9%","2.5%","1.2%","7.6%","","7.7%","7.9%","","10.1%","3.3%","2.4%","3.4%","","2.2%","4.4%","5.4%","0.0%","","2.7%","4.2%","5.1%","0.0%","","3.9%","4.3%","2.0%","0.0%","","15.4%","7.4%","2.0%","0.0%","","(X)","","2.5%","8.5%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±0.9","±1.6","±1.9","±3.1","±2.3","","","±1.1","±4.0","±52.6","±3.7","±96.8","±3.2","±1.3","±1.7","±1.1","±0.8","±0.6","±4.9","","±7.6","±3.4","","±5.5","±2.1","±1.4","±1.5","","±1.2","±1.8","±3.4","±34.6","","±1.3","±1.7","±3.8","±42.3","","±1.8","±1.8","±1.4","±10.2","","±7.5","±2.5","±1.2","±1.0","","(X)","","±0.9","±2.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","19,884","11,630","1,870","1,916","7,844","","","12,766","2,391","0","1,795","13","786","2,133","6,196","9,391","17,263","14,233","1,814","","516","2,575","","1,399","3,812","5,500","9,173","","8,254","9,376","2,214","40","","8,859","8,979","2,037","9","","6,158","9,009","4,366","351","","1,100","3,066","11,472","4,246","","5,134","","17,085","2,799","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±1,333","±1,210","±499","±494","±1,271","","","±949","±571","±33","±474","±24","±265","±1,054","±1,268","±851","±1,333","±1,329","±393","","±199","±453","","±402","±1,152","±828","±1,110","","±861","±1,256","±781","±41","","±886","±1,259","±753","±17","","±786","±989","±1,154","±136","","±286","±551","±1,220","±1,114","","±2,082","","±1,316","±553","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1.5%","1.1%","0.0%","1.9%","1.2%","","","1.5%","3.5%","-","1.2%","0.0%","0.0%","0.0%","1.4%","1.2%","1.1%","0.2%","5.4%","","5.4%","3.8%","","2.4%","0.2%","2.1%","1.6%","","2.1%","1.1%","1.3%","0.0%","","1.9%","1.1%","1.4%","0.0%","","2.6%","1.3%","0.6%","0.0%","","5.0%","4.1%","1.1%","0.0%","","(X)","","0.7%","6.3%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±0.7","±0.8","±2.4","±3.0","±0.9","","","±0.9","±3.6","**","±2.1","±96.8","±5.6","±2.1","±1.2","±1.0","±0.6","±0.3","±4.5","","±9.5","±3.2","","±2.9","±0.4","±1.5","±1.0","","±1.4","±0.8","±1.7","±55.2","","±1.3","±0.9","±1.9","±100.0","","±1.8","±0.9","±0.8","±12.0","","±5.7","±2.7","±0.7","±1.1","","(X)","","±0.5","±3.8","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
