,Zip Code,Label,Grouping,Total,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $24,999","    $25,000 to $34,999","    $35,000 to $49,999","    $50,000 to $74,999","    $75,000 to $99,999","    $100,000 to $149,999","    $150,000 to $199,999","    $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,    Household income in the past 12 months,    Family income in the past 12 months,    Nonfamily income in the past 12 months
303,78734,Nonfamily households,Estimate,"2,231",9.3%,2.7%,7.4%,6.8%,15.4%,11.9%,10.0%,17.4%,9.0%,10.2%,"66,783","89,371",,(X),(X),32.9%
305,78735,Households,Estimate,"7,862",3.0%,2.9%,3.6%,3.8%,9.1%,17.1%,10.6%,20.9%,11.3%,17.8%,"100,000","154,050",,24.3%,(X),(X)
307,78735,Families,Estimate,"4,802",2.4%,3.0%,2.3%,2.5%,6.1%,9.9%,6.8%,23.8%,16.9%,26.3%,"138,088","200,953",,(X),27.7%,(X)
309,78735,Married-couple families,Estimate,"4,144",2.0%,1.1%,1.9%,1.4%,4.7%,8.0%,6.9%,25.0%,19.6%,29.6%,"148,500",N,,(X),(X),(X)
311,78735,Nonfamily households,Estimate,"3,060",4.0%,3.1%,5.6%,5.8%,14.2%,29.6%,15.8%,15.9%,2.5%,3.4%,"62,535","78,272",,(X),(X),19.0%
313,78736,Households,Estimate,"3,677",7.2%,0.0%,4.1%,0.6%,8.3%,12.0%,19.0%,23.7%,11.8%,13.3%,"97,184","122,263",,31.9%,(X),(X)
315,78736,Families,Estimate,"2,519",7.3%,0.0%,2.3%,0.9%,5.6%,7.0%,17.4%,27.8%,15.8%,15.9%,"120,791","140,407",,(X),33.8%,(X)
317,78736,Married-couple families,Estimate,"2,244",5.5%,0.0%,1.7%,1.0%,3.2%,6.9%,17.4%,28.7%,17.7%,17.9%,"128,611",N,,(X),(X),(X)
319,78736,Nonfamily households,Estimate,"1,158",7.0%,0.0%,8.1%,0.0%,18.7%,24.9%,20.5%,13.9%,1.6%,5.4%,"64,094","76,858",,(X),(X),27.8%
321,78737,Households,Estimate,"6,280",2.0%,1.0%,1.8%,3.2%,3.7%,11.8%,10.5%,20.6%,18.7%,26.7%,"134,545","162,987",,32.9%,(X),(X)
323,78737,Families,Estimate,"5,591",0.8%,0.9%,1.5%,2.1%,3.0%,11.5%,10.9%,21.3%,20.9%,27.0%,"138,766","169,145",,(X),31.5%,(X)
325,78737,Married-couple families,Estimate,"4,781",1.0%,1.1%,1.3%,1.7%,2.7%,10.5%,7.9%,21.9%,23.1%,28.8%,"159,055",N,,(X),(X),(X)
327,78737,Nonfamily households,Estimate,689,11.2%,1.6%,4.2%,12.3%,9.3%,21.6%,10.3%,6.5%,7.1%,15.8%,"53,969","99,453",,(X),(X),33.5%
329,78738,Households,Estimate,"6,368",4.3%,0.9%,3.8%,3.8%,6.5%,13.1%,10.6%,16.9%,14.2%,25.9%,"117,371","161,351",,25.7%,(X),(X)
331,78738,Families,Estimate,"4,477",4.7%,0.3%,2.5%,1.0%,2.1%,7.2%,10.3%,21.4%,18.2%,32.2%,"150,903","194,030",,(X),26.5%,(X)
333,78738,Married-couple families,Estimate,"3,908",4.7%,0.4%,2.4%,1.1%,1.3%,6.0%,9.6%,19.6%,20.2%,34.9%,"160,438",N,,(X),(X),(X)
335,78738,Nonfamily households,Estimate,"1,891",3.3%,2.3%,6.7%,10.6%,17.0%,27.0%,11.5%,9.5%,1.6%,10.6%,"51,420","81,195",,(X),(X),23.7%
337,78739,Households,Estimate,"6,788",2.8%,0.3%,0.8%,1.1%,2.3%,5.6%,7.9%,20.3%,18.2%,40.8%,"169,023","191,001",,23.6%,(X),(X)
339,78739,Families,Estimate,"5,891",1.3%,0.3%,0.3%,0.7%,1.7%,4.7%,6.5%,20.5%,19.6%,44.4%,"180,868","200,751",,(X),25.8%,(X)
341,78739,Married-couple families,Estimate,"5,549",0.6%,0.3%,0.0%,0.8%,1.5%,3.4%,6.5%,21.0%,20.8%,45.0%,"181,576",N,,(X),(X),(X)
343,78739,Nonfamily households,Estimate,897,17.2%,0.0%,4.0%,3.2%,6.2%,11.1%,17.4%,20.0%,4.9%,15.9%,"83,422","116,457",,(X),(X),3.3%
345,78741,Households,Estimate,"20,714",9.2%,4.5%,10.7%,8.7%,14.5%,20.0%,12.8%,12.2%,4.2%,3.2%,"52,048","68,962",,40.5%,(X),(X)
347,78741,Families,Estimate,"6,773",8.6%,4.2%,12.0%,11.2%,10.5%,20.7%,11.9%,10.9%,5.3%,4.7%,"55,842","78,233",,(X),46.9%,(X)
349,78741,Married-couple families,Estimate,"3,616",1.4%,2.2%,7.5%,8.9%,10.1%,20.3%,16.6%,16.8%,8.0%,8.4%,"74,837",N,,(X),(X),(X)
351,78741,Nonfamily households,Estimate,"13,941",10.3%,4.7%,10.6%,8.8%,15.9%,18.6%,12.5%,12.5%,3.6%,2.4%,"49,708","62,931",,(X),(X),37.0%
353,78742,Households,Estimate,273,10.6%,2.2%,1.1%,10.3%,11.0%,35.9%,22.7%,6.2%,0.0%,0.0%,"59,792","58,328",,67.4%,(X),(X)
355,78742,Families,Estimate,164,3.7%,8.5%,1.8%,0.0%,23.8%,43.9%,7.9%,10.4%,0.0%,0.0%,"58,083","57,080",,(X),51.8%,(X)
357,78742,Married-couple families,Estimate,67,9.0%,0.0%,4.5%,0.0%,0.0%,55.2%,14.9%,16.4%,0.0%,0.0%,"64,688",N,,(X),(X),(X)
359,78742,Nonfamily households,Estimate,109,21.1%,5.5%,0.0%,25.7%,27.5%,11.0%,9.2%,0.0%,0.0%,0.0%,"32,132","36,079",,(X),(X),61.5%
361,78744,Households,Estimate,"16,053",4.5%,3.3%,6.4%,11.8%,13.7%,21.5%,16.0%,14.4%,6.0%,2.3%,"62,905","75,300",,41.3%,(X),(X)
363,78744,Families,Estimate,"11,313",3.9%,2.9%,5.8%,11.2%,11.7%,22.8%,17.2%,14.8%,7.1%,2.6%,"66,280","80,177",,(X),45.8%,(X)
365,78744,Married-couple families,Estimate,"6,989",1.3%,0.2%,2.8%,7.2%,12.7%,26.8%,22.1%,17.7%,4.9%,4.2%,"74,027","92,897",,(X),(X),(X)
367,78744,Nonfamily households,Estimate,"4,740",7.6%,4.8%,7.8%,16.1%,16.2%,19.4%,13.0%,10.0%,3.3%,1.8%,"48,272","59,547",,(X),(X),29.3%
369,78745,Households,Estimate,"27,994",4.7%,2.8%,6.4%,7.9%,13.5%,19.3%,13.5%,21.1%,4.8%,5.9%,"68,669","85,209",,36.9%,(X),(X)
371,78745,Families,Estimate,"13,820",3.2%,2.0%,3.7%,6.6%,12.8%,14.9%,17.8%,25.1%,5.9%,8.1%,"86,973","97,822",,(X),38.6%,(X)
373,78745,Married-couple families,Estimate,"9,738",1.7%,1.2%,2.8%,5.0%,9.6%,11.3%,19.9%,30.6%,8.1%,10.0%,"98,897",N,,(X),(X),(X)
375,78745,Nonfamily households,Estimate,"14,174",6.6%,3.7%,9.2%,9.2%,14.5%,24.1%,10.7%,15.3%,3.3%,3.3%,"56,926","70,664",,(X),(X),34.1%
377,78746,Households,Estimate,"10,414",2.4%,0.8%,2.1%,2.9%,4.9%,10.7%,11.1%,14.9%,12.8%,37.4%,"151,488","226,821",,32.0%,(X),(X)
379,78746,Families,Estimate,"7,314",1.8%,0.4%,1.1%,2.0%,2.3%,5.6%,7.2%,15.6%,14.1%,49.9%,"199,706","278,333",,(X),34.2%,(X)
381,78746,Married-couple families,Estimate,"6,426",0.5%,0.4%,0.7%,1.9%,2.0%,3.8%,6.1%,15.7%,14.8%,54.1%,"213,696",N,,(X),(X),(X)
383,78746,Nonfamily households,Estimate,"3,100",4.7%,1.6%,4.5%,5.1%,11.1%,23.0%,20.3%,14.2%,8.3%,7.3%,"75,040","100,795",,(X),(X),26.2%
385,78747,Households,Estimate,"6,657",1.0%,0.8%,3.6%,8.7%,11.8%,15.9%,18.8%,26.5%,7.0%,5.9%,"84,098","95,805",,34.3%,(X),(X)
387,78747,Families,Estimate,"4,745",0.8%,0.9%,1.7%,9.2%,11.0%,15.2%,17.0%,29.3%,8.3%,6.6%,"92,757","102,333",,(X),39.7%,(X)
389,78747,Married-couple families,Estimate,"3,287",0.6%,0.9%,2.3%,4.8%,9.5%,14.5%,18.6%,30.4%,10.1%,8.4%,"97,376",N,,(X),(X),(X)
391,78747,Nonfamily households,Estimate,"1,912",1.5%,0.4%,8.5%,10.3%,15.3%,17.1%,25.4%,17.6%,1.4%,2.6%,"71,273","71,940",,(X),(X),18.1%
393,78748,Households,Estimate,"21,027",4.4%,1.2%,4.4%,5.3%,9.7%,17.8%,14.4%,22.0%,9.8%,11.0%,"88,688","107,501",,34.4%,(X),(X)
395,78748,Families,Estimate,"12,154",3.6%,0.8%,4.0%,4.0%,7.7%,15.8%,12.0%,27.4%,13.7%,10.9%,"102,972","113,595",,(X),37.8%,(X)
397,78748,Married-couple families,Estimate,"9,054",2.6%,0.0%,2.3%,2.3%,4.7%,15.4%,12.3%,30.6%,16.4%,13.4%,"117,255",N,,(X),(X),(X)
399,78748,Nonfamily households,Estimate,"8,873",5.7%,2.3%,5.7%,7.7%,13.2%,21.0%,17.2%,13.5%,3.9%,9.9%,"67,637","93,442",,(X),(X),28.6%
401,78749,Households,Estimate,"15,836",3.5%,1.5%,1.5%,5.1%,5.7%,14.7%,16.8%,23.7%,14.4%,13.2%,"102,303","121,722",,34.1%,(X),(X)
403,78749,Families,Estimate,"10,091",0.7%,0.7%,1.0%,6.2%,2.3%,11.7%,13.1%,28.1%,18.9%,17.3%,"122,654","140,155",,(X),35.7%,(X)
405,78749,Married-couple families,Estimate,"8,202",0.7%,0.9%,0.6%,2.2%,1.2%,7.6%,13.8%,32.2%,21.2%,19.7%,"130,588",N,,(X),(X),(X)
407,78749,Nonfamily households,Estimate,"5,745",8.5%,2.9%,2.4%,6.1%,11.5%,21.4%,21.5%,14.5%,5.1%,6.0%,"71,279","85,084",,(X),(X),27.9%
409,78750,Households,Estimate,"12,383",2.1%,1.9%,2.7%,4.9%,12.0%,13.1%,13.1%,17.0%,15.3%,18.0%,"100,489","129,628",,27.5%,(X),(X)
411,78750,Families,Estimate,"8,241",0.6%,1.3%,1.5%,3.5%,9.0%,7.5%,12.5%,20.2%,19.4%,24.6%,"136,283","155,190",,(X),28.2%,(X)
413,78750,Married-couple families,Estimate,"6,659",0.2%,0.2%,1.1%,2.6%,6.9%,5.4%,11.6%,21.8%,22.3%,27.8%,"151,442",N,,(X),(X),(X)
415,78750,Nonfamily households,Estimate,"4,142",5.0%,3.2%,5.7%,8.4%,17.6%,24.3%,15.1%,10.1%,6.7%,3.8%,"57,033","75,733",,(X),(X),22.7%
417,78751,Households,Estimate,"8,446",8.9%,2.6%,8.3%,8.1%,13.2%,16.6%,11.4%,15.4%,5.9%,9.7%,"61,735","88,340",,23.0%,(X),(X)
419,78751,Families,Estimate,"2,278",0.7%,1.3%,9.5%,8.2%,5.7%,9.4%,15.1%,17.5%,14.2%,18.4%,"100,160","123,994",,(X),22.1%,(X)
421,78751,Married-couple families,Estimate,"1,718",0.4%,0.0%,11.7%,2.9%,4.9%,6.9%,13.3%,19.8%,16.5%,23.5%,"118,056",N,,(X),(X),(X)
423,78751,Nonfamily households,Estimate,"6,168",12.0%,3.0%,7.9%,8.3%,16.2%,18.7%,10.2%,14.7%,3.2%,5.9%,"51,734","74,013",,(X),(X),23.0%
425,78752,Households,Estimate,"9,133",7.7%,8.2%,8.9%,9.0%,18.1%,14.3%,10.9%,12.7%,6.7%,3.6%,"49,214","69,865",,29.3%,(X),(X)
427,78752,Families,Estimate,"3,892",1.6%,6.4%,7.6%,9.2%,20.1%,16.1%,8.6%,16.2%,8.2%,6.0%,"53,652","78,701",,(X),34.8%,(X)
429,78752,Married-couple families,Estimate,"2,490",0.6%,2.9%,4.9%,8.4%,18.6%,14.5%,9.6%,19.8%,11.6%,9.1%,"75,062",N,,(X),(X),(X)
431,78752,Nonfamily households,Estimate,"5,241",12.2%,9.6%,10.6%,8.7%,17.1%,14.1%,10.2%,12.0%,3.8%,1.7%,"40,729","60,265",,(X),(X),24.9%
433,78753,Households,Estimate,"21,602",5.5%,3.1%,9.0%,12.9%,14.5%,19.2%,14.9%,14.0%,4.6%,2.4%,"53,797","69,922",,34.3%,(X),(X)
435,78753,Families,Estimate,"13,173",4.8%,3.1%,8.6%,12.7%,13.2%,19.5%,16.1%,16.2%,3.7%,2.0%,"55,850","70,935",,(X),37.3%,(X)
437,78753,Married-couple families,Estimate,"7,885",2.2%,1.6%,6.6%,11.6%,12.4%,20.1%,17.6%,19.5%,5.7%,2.7%,"69,302",N,,(X),(X),(X)
439,78753,Nonfamily households,Estimate,"8,429",7.1%,4.3%,11.3%,12.9%,17.6%,17.9%,13.7%,7.7%,4.7%,2.6%,"48,457","62,072",,(X),(X),26.0%
441,78754,Households,Estimate,"9,348",3.8%,1.1%,6.9%,6.9%,10.8%,17.9%,16.2%,25.0%,6.4%,5.1%,"77,377","93,057",,38.8%,(X),(X)
443,78754,Families,Estimate,"6,051",2.7%,0.7%,5.6%,6.8%,10.0%,17.6%,14.1%,29.0%,9.1%,4.6%,"84,797","99,626",,(X),41.5%,(X)
445,78754,Married-couple families,Estimate,"4,438",0.9%,0.9%,5.9%,1.1%,7.6%,16.8%,16.9%,36.5%,9.3%,4.1%,"99,795",N,,(X),(X),(X)
447,78754,Nonfamily households,Estimate,"3,297",6.0%,1.8%,9.2%,12.3%,15.6%,18.7%,14.6%,17.3%,1.4%,3.2%,"53,199","72,286",,(X),(X),30.6%
449,78756,Households,Estimate,"4,414",4.3%,4.6%,5.9%,9.3%,9.2%,10.9%,12.2%,16.9%,11.1%,15.6%,"84,779","117,297",,25.8%,(X),(X)
451,78756,Families,Estimate,"1,488",0.0%,4.5%,0.5%,4.1%,1.5%,7.3%,10.5%,17.7%,21.2%,32.8%,"158,500","182,799",,(X),21.6%,(X)
453,78756,Married-couple families,Estimate,"1,162",0.0%,0.0%,0.0%,2.5%,1.9%,6.5%,8.3%,20.0%,19.8%,41.0%,"171,875",N,,(X),(X),(X)
455,78756,Nonfamily households,Estimate,"2,926",6.5%,4.6%,9.0%,12.0%,13.2%,12.5%,13.1%,16.8%,5.9%,6.4%,"58,311","81,490",,(X),(X),28.0%
457,78757,Households,Estimate,"11,261",3.3%,3.0%,7.3%,9.8%,10.7%,14.7%,12.0%,17.4%,10.4%,11.5%,"77,560","103,468",,27.7%,(X),(X)
459,78757,Families,Estimate,"5,749",1.7%,2.0%,2.1%,4.5%,10.4%,9.3%,13.3%,24.4%,15.0%,17.4%,"110,273","130,722",,(X),24.6%,(X)
461,78757,Married-couple families,Estimate,"4,474",0.1%,1.1%,2.1%,2.5%,6.1%,7.1%,15.1%,27.8%,16.7%,21.5%,"128,073",N,,(X),(X),(X)
463,78757,Nonfamily households,Estimate,"5,512",4.9%,4.0%,12.7%,15.9%,14.5%,17.3%,10.8%,10.8%,4.7%,4.5%,"47,785","71,292",,(X),(X),31.0%
465,78758,Households,Estimate,"21,851",9.7%,4.6%,6.7%,7.7%,11.2%,22.2%,12.5%,16.7%,5.2%,3.6%,"60,769","72,663",,32.3%,(X),(X)
467,78758,Families,Estimate,"10,008",9.9%,3.9%,7.2%,7.2%,9.8%,19.7%,12.3%,20.2%,5.2%,4.6%,"61,805","77,408",,(X),35.0%,(X)
469,78758,Married-couple families,Estimate,"6,734",5.1%,2.9%,5.1%,8.8%,9.1%,16.2%,13.4%,25.7%,7.7%,6.2%,"78,788",N,,(X),(X),(X)
471,78758,Nonfamily households,Estimate,"11,843",9.7%,5.7%,6.7%,8.0%,12.6%,25.3%,11.1%,13.0%,5.3%,2.7%,"56,565","66,731",,(X),(X),29.0%
473,78759,Households,Estimate,"21,740",3.0%,1.4%,5.3%,5.3%,9.4%,19.5%,12.0%,17.6%,9.3%,17.1%,"87,080","117,177",,24.7%,(X),(X)
475,78759,Families,Estimate,"11,052",1.1%,0.4%,1.2%,3.2%,3.2%,12.8%,11.7%,23.3%,14.5%,28.7%,"135,765","159,542",,(X),24.8%,(X)
477,78759,Married-couple families,Estimate,"9,691",0.6%,0.4%,1.2%,2.9%,2.3%,9.4%,11.7%,23.9%,16.3%,31.3%,"144,107",N,,(X),(X),(X)
479,78759,Nonfamily households,Estimate,"10,688",5.0%,2.6%,9.6%,8.0%,16.1%,26.1%,12.4%,11.0%,4.1%,5.1%,"54,789","72,242",,(X),(X),24.5%
481,"Travis County, Texas",Households,Estimate,"491,531",5.2%,2.6%,5.4%,6.6%,10.4%,16.2%,13.0%,18.7%,9.2%,12.6%,"80,668","112,116",,33.3%,(X),(X)
483,"Travis County, Texas",Families,Estimate,"280,144",3.0%,1.7%,4.0%,5.3%,7.8%,13.9%,12.7%,21.8%,12.2%,17.7%,"103,154","136,290",,(X),35.7%,(X)
485,"Travis County, Texas",Married-couple families,Estimate,"213,047",1.3%,0.8%,2.3%,3.3%,5.6%,12.0%,12.9%,24.8%,14.8%,22.2%,"121,569","157,503",,(X),(X),(X)
487,"Travis County, Texas",Nonfamily households,Estimate,"211,387",8.7%,4.0%,7.9%,9.0%,14.2%,19.5%,13.0%,13.9%,4.7%,5.2%,"56,587","76,603",,(X),(X),29.0%
488,"Travis County, Texas",Nonfamily households,Margin of Error,"3,384",0.6,0.5,0.5,0.6,0.7,0.8,0.7,0.7,0.4,0.4,"1,239","1,585",,(X),(X),(X)
